"clustid" "x1" "x2" "x3" "inclusion" "g"
"1" 230 61.8124347623088 35.1871565406489 15 TRUE "a"
"2" 230 0 37.2714287894113 7 TRUE "a"
"3" 231 0 11.2000001271566 3 TRUE "a"
"4" 231 0 0 0 TRUE "a"
"5" 231 0 38.6000003814697 6 TRUE "a"
"6" 231 0 40.7750000953674 8 TRUE "a"
"7" 235 186.734095795866 27.5884083400169 10 TRUE "a"
"8" 236 0 26.8140176355199 10 TRUE "b"
"9" 236 0 18.6500005722046 4 TRUE "b"
"10" 236 0 31.5129068325466 7 TRUE "b"
"11" 237 0 34.4545452811501 11 TRUE "b"
"12" 237 0 0 0 TRUE "b"
"13" 237 23.9945708137704 6.34999990463257 2 TRUE "b"
"14" 237 0 0 0 TRUE "b"
"15" 238 0 12.1999998092651 1 TRUE "b"
"16" 238 0 18.7444445292155 9 TRUE "b"
"17" 239 0 23.3100004196167 10 TRUE "a"
"18" 239 0 21.65 10 TRUE "a"
"19" 239 57.7870174949658 26.0363636883822 11 TRUE "a"
"20" 242 0 18.1631082954576 4 TRUE "a"
"21" 244 0 21.1816372047453 12 TRUE NA
"22" 287 0 22.6172540061555 5 TRUE "a"
"23" 287 228.504069316776 24.4396509134728 11 TRUE "a"
"26" 290 0 34.4000015258789 1 TRUE NA
"27" 290 63.3270963514433 33.8200003623962 10 TRUE NA
"28" 293 0 0 0 TRUE "a"
"29" 293 673.600349617306 22.6519683960674 15 TRUE "a"
"30" 294 0 7.90000009536743 1 TRUE NA
"31" 295 326.943400593194 31.1823919981194 7 TRUE NA
"32" 295 0 22.2000007629395 1 TRUE NA
"33" 295 649.813918068025 30.465920479255 9 TRUE NA
"34" 297 610.382393739909 22.4214285441807 14 TRUE "b"
"35" 297 29.1232441313377 8.89999961853027 1 TRUE "b"
"36" 297 0 17.7140982566625 4 TRUE "b"
"37" 299 63.2575904300402 31.3000001907349 2 TRUE "a"
"38" 302 0 36.2416298765605 7 TRUE NA
"39" 303 433.785282275469 30.3692304171049 13 TRUE "b"
"40" 303 0 29.057530335091 8 TRUE "b"
"41" 303 0 31.7023974879293 8 TRUE "b"
"42" 303 0 25.5857140677316 7 TRUE "b"
"43" 304 0 28.6416670481364 12 TRUE "a"
"44" 304 0 27.2799999237061 10 TRUE "a"
"45" 305 712.705844958181 30.3400002797445 15 TRUE "a"
"46" 305 1021.94138662845 30.6609465365518 16 TRUE "a"
"47" 305 692.750917314258 31.529699617186 18 TRUE "a"
"48" 335 0 22.4614248373002 12 TRUE NA
"49" 335 0 37.5000001907349 10 TRUE NA
"50" 335 0 14.7285714830671 7 TRUE NA
"51" 335 0 34.2852471639402 7 TRUE NA
"52" 336 0 39.4166666666667 6 TRUE NA
"53" 336 0 37.6666666666667 3 TRUE NA
"54" 336 0 37.7618443851369 6 TRUE NA
"55" 336 0 52.5499992370605 2 TRUE NA
"56" 339 88.9638761070214 12.5399997711182 5 TRUE NA
"57" 340 0 37.9689092332928 6 TRUE NA
"58" 340 70.2703480323207 38.9 5 TRUE NA
"59" 340 0 9.32500004768372 4 TRUE NA
"60" 340 0 13.3142856870379 7 TRUE NA
"61" 341 0 8.30000019073486 1 TRUE "b"
"62" 341 33.1044054187767 9.29999971389771 2 TRUE "b"
"63" 341 0 17.4333333969116 3 TRUE "b"
"64" 341 0 0 0 TRUE "b"
"65" 342 0 29.0799999237061 5 TRUE NA
"66" 342 254.685560706064 32.7016235464436 7 TRUE NA
"67" 342 0 0 0 TRUE NA
"68" 343 0 38.6000003814697 8 TRUE NA
"69" 344 178.586149237034 36.8111106024848 9 TRUE "a"
"70" 344 678.99637463129 26.9428571292332 14 TRUE "a"
"71" 344 0 27.7333335876465 3 TRUE "a"
"72" 344 54.8760309534446 23.5513177614546 5 TRUE "a"
"73" 346 387.15291667595 23.5052125582191 6 TRUE "b"
"74" 347 239.49219385015 27.6700002670288 10 TRUE "a"
"75" 347 41.8064376343353 25.8100598117406 7 TRUE "a"
"76" 347 184.685057166136 32.3293843405278 11 TRUE "a"
"77" 347 0 0 0 TRUE "a"
"78" 348 798.879586012227 38.0187499523163 16 TRUE "a"
"79" 348 0 0 0 TRUE "a"
"80" 348 11.0349951539121 4.85000014305115 2 TRUE "a"
"81" 348 0 0 0 TRUE "a"
"86" 351 0 25.8799997329712 5 TRUE "a"
"87" 351 220.558481226891 19.799999833107 8 TRUE "a"
"88" 351 0 0 0 TRUE "a"
"89" 355 0 27.6116989657799 5 TRUE "a"
"90" 355 0 34.9578547726922 7 TRUE "a"
"91" 355 0 35.6466668446859 15 TRUE "a"
"92" 355 54.6202288787372 32.7285714830671 7 TRUE "a"
"93" 356 0 28.8999999364217 6 TRUE "a"
"94" 356 132.562164316002 18.2141756522637 9 TRUE "a"
"95" 356 285.941986032825 20.8428570883615 7 TRUE "a"
"96" 356 0 33.7799999237061 5 TRUE "a"
"97" 357 0 43.5749998092651 12 TRUE "a"
"98" 357 0 33.6714286804199 7 TRUE "a"
"99" 357 0 32.9363639137962 11 TRUE "a"
"100" 357 0 32.8714288984026 7 TRUE "a"
"101" 358 208.397656804867 18.1888889736599 9 TRUE "a"
"102" 358 0 21.8785715103149 14 TRUE "a"
"103" 358 0 30.4499998092651 14 TRUE "a"
"104" 358 0 29.0454547188499 11 TRUE "a"
"105" 359 191.993081947059 24.5411762910731 17 TRUE "a"
"106" 359 317.922191690468 24.3714286259242 7 TRUE "a"
"107" 359 0 25.7999992370605 1 TRUE "a"
"108" 359 104.018853606678 29.3888888888889 9 TRUE "a"
"109" 360 38.2806686757831 20.7999992370605 1 TRUE "a"
"110" 366 378.836429939086 31.0991295222114 15 TRUE NA
"111" 414 0 23.7166666984558 6 TRUE "b"
"112" 414 0 31.7228553276863 4 TRUE "b"
"113" 414 0 27.4073678403147 14 TRUE "b"
"114" 418 0 33.6428571428571 7 TRUE "a"
"115" 419 0 31.4428574698312 7 TRUE "b"
"116" 419 0 38.4125006198883 8 TRUE "b"
"117" 419 0 35.0520638503128 5 TRUE "b"
"118" 419 423.829368854167 33.7461537581224 13 TRUE "b"
"119" 421 0 33.7370942858691 18 TRUE NA
"120" 423 0 32.6147459446408 5 TRUE "b"
"123" 428 0 22.0500001907349 2 TRUE "b"
"124" 428 860.234029290845 30.8888887829251 18 TRUE "b"
"125" 428 650.81700125756 23.6465629995971 14 TRUE "b"
"126" 428 0 18.5999998092651 5 TRUE "b"
"127" 430 478.777910694812 24.1666667938232 15 TRUE "a"
"132" 436 111.704294343955 31.1603037944695 9 TRUE "b"
"133" 436 0 38.3153822383954 6 TRUE "b"
"134" 436 166.252287014248 31.5545454892245 11 TRUE "b"
"135" 438 66.1924731684485 29.3571428571429 7 TRUE "b"
"136" 438 0 34.8999998304579 9 TRUE "b"
"137" 440 0 7.80000019073486 1 TRUE NA
"138" 443 321.713860272862 30.9779374085634 7 TRUE "a"
"139" 451 109.83198287201 30.235538472902 10 TRUE NA
"140" 451 63.3473920418874 31.8666655222575 3 TRUE NA
"141" 451 111.689284625173 33.8666674296061 9 TRUE NA
"142" 451 127.856082950538 35.783332824707 6 TRUE NA
